Incident ID,Date,Time of Day,Confirmed Time,Governorate,District,Area,Actor,Type of Weapons,Target,Main category,Sub-category,Min Projectiles,Max Projectiles,Civilian Casualties,Fatalities,Woman fatalities,Child fatalities,Injured,Woman injured,Child injured
1,26/03/2015,Early-Morning,2,Capital,Bani Al-Harith,Al-Rahabah,Saudi-led Coalition,Air Raid,Al-Daylami Airbase,Military_Security_Target,Military Site,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,26/03/2015,Evening,20,Taiz,Al-Taiziyah,Al-Hawban ,Saudi-led Coalition,Air Raid,Tariq Air Base,Military_Security_Target,Military Site,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26/03/2015,Evening,20,Taiz,Al-Taiziyah,,Saudi-led Coalition,Air Raid,Taiz Airport,Infrastructure,Transport,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,26/03/2015,Evening,20,Taiz,Salah,,Saudi-led Coalition,Air Raid,SSF Camp,Military_Security_Target,Military Site,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,26/03/2015,Afternoon,15,Saada,Al-Dhaher,Al-Marwee,Saudi-led Coalition,Air Raid,Mountain,Unknown,Unknown,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,26/03/2015,Afternoon,15,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Saudi-led Coalition,Air Raid,Badw Tents,Civilian,Residential Area,1.0,2,3.0,0.0,0.0,0.0,3.0,1.0,0.0
7,26/03/2015,Afternoon,15,Saada,Al-Safra'a,Al-Naqa'ah,Saudi-led Coalition,Air Raid,Unknown,Unknown,Unknown,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,26/03/2015,Afternoon,15,Saada,Majz,Dhahyan,Saudi-led Coalition,Air Raid,Unknown,Unknown,Unknown,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26/03/2015,Afternoon,15,Saada,Sa'ada,The City,Saudi-led Coalition,Air Raid,Sa'ada Airport,Infrastructure,Transport,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,26/03/2015,Early-Morning,unkn,Saada,Haydan,Maa,Saudi-led Coalition,Air Raid,Weapons Storage,Military_Security_Target,Weapon storage,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
