Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2007,Egypt,Yemen,EGY,YEM,204,0,0,0,0,0,0
2007,Australia,Yemen,AUS,YEM,10,0,0,0,0,0,0
2007,Austria,Yemen,AUT,YEM,6,0,0,0,0,0,0
2007,Belgium,Yemen,BEL,YEM,12,0,0,0,0,0,0
2007,Bulgaria,Yemen,BGR,YEM,0,5,0,0,0,0,0
2007,Canada,Yemen,CAN,YEM,364,23,0,0,0,0,0
2007,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2007,Denmark,Yemen,DNK,YEM,8,0,0,0,0,0,0
2007,Ethiopia,Yemen,ETH,YEM,0,7,0,0,0,0,0
2007,France,Yemen,FRA,YEM,5,0,0,0,0,0,0
2007,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,88,0,0,0,0,0,0
2007,Germany,Yemen,DEU,YEM,242,43,0,0,0,0,0
2007,Lebanon,Yemen,LBN,YEM,6,0,0,0,0,0,0
2007,Malaysia,Yemen,MYS,YEM,0,5,0,0,0,0,0
2007,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,50,0,0,0,0,0,0
2007,Norway,Yemen,NOR,YEM,42,27,0,0,0,0,0
2007,"Saudi Arabia",Yemen,SAU,YEM,0,5,0,0,0,0,0
2007,Somalia,Yemen,SOM,YEM,5,0,0,0,0,0,0
2007,Sweden,Yemen,SWE,YEM,56,57,0,0,0,0,0
2007,Switzerland,Yemen,CHE,YEM,117,37,0,0,0,0,0
2007,"Syrian Arab Rep.",Yemen,SYR,YEM,53,36,0,0,0,0,0
2007,"United States of America",Yemen,USA,YEM,348,61,0,0,0,0,0
2007,Yemen,Yemen,YEM,YEM,0,0,77000,0,0,0,0
2008,Egypt,Yemen,EGY,YEM,204,0,0,0,0,0,0
2008,Australia,Yemen,AUS,YEM,8,0,0,0,0,0,0
2008,Austria,Yemen,AUT,YEM,7,5,0,0,0,0,0
2008,Belgium,Yemen,BEL,YEM,5,0,0,0,0,0,0
2008,Bulgaria,Yemen,BGR,YEM,0,5,0,0,0,0,0
2008,Canada,Yemen,CAN,YEM,331,30,0,0,0,0,0
2008,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2008,Denmark,Yemen,DNK,YEM,6,0,0,0,0,0,0
2008,Ethiopia,Yemen,ETH,YEM,0,9,0,0,0,0,0
2008,France,Yemen,FRA,YEM,5,0,0,0,0,0,0
2008,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,109,0,0,0,0,0,0
2008,Germany,Yemen,DEU,YEM,358,37,0,0,0,0,0
2008,Jordan,Yemen,JOR,YEM,0,5,0,0,0,0,0
2008,Lebanon,Yemen,LBN,YEM,5,0,0,0,0,0,0
2008,Malaysia,Yemen,MYS,YEM,0,5,0,0,0,0,0
2008,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,42,0,0,0,0,0,0
2008,Norway,Yemen,NOR,YEM,54,90,0,0,0,0,0
2008,"Saudi Arabia",Yemen,SAU,YEM,0,5,0,0,0,0,0
2008,Somalia,Yemen,SOM,YEM,5,0,0,0,0,0,0
2008,Sweden,Yemen,SWE,YEM,69,121,0,0,0,0,0
2008,Switzerland,Yemen,CHE,YEM,166,70,0,0,0,0,0
2008,"Syrian Arab Rep.",Yemen,SYR,YEM,54,43,0,0,0,0,0
2008,"United States of America",Yemen,USA,YEM,331,39,0,0,0,0,0
2008,Yemen,Yemen,YEM,YEM,0,0,100000,0,0,0,0
2009,Egypt,Yemen,EGY,YEM,205,0,0,0,0,0,0
2009,Australia,Yemen,AUS,YEM,6,0,0,0,0,0,0
2009,Austria,Yemen,AUT,YEM,7,5,0,0,0,0,0
2009,Belgium,Yemen,BEL,YEM,5,0,0,0,0,0,0
2009,Bulgaria,Yemen,BGR,YEM,0,5,0,0,0,0,0
2009,Canada,Yemen,CAN,YEM,286,33,0,0,0,0,0
2009,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2009,Denmark,Yemen,DNK,YEM,5,0,0,0,0,0,0
2009,Ethiopia,Yemen,ETH,YEM,9,0,0,0,0,0,0
2009,France,Yemen,FRA,YEM,6,0,0,0,0,0,0
2009,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,141,0,0,0,0,0,0
2009,Germany,Yemen,DEU,YEM,396,56,0,0,0,0,0
2009,Ireland,Yemen,IRL,YEM,5,0,0,0,0,0,0
2009,Iraq,Yemen,IRQ,YEM,0,16,0,0,0,0,0
2009,Jordan,Yemen,JOR,YEM,5,22,0,0,0,0,0
2009,Lebanon,Yemen,LBN,YEM,5,0,0,0,0,0,0
2009,Malaysia,Yemen,MYS,YEM,0,12,0,0,0,0,0
2009,Morocco,Yemen,MAR,YEM,5,0,0,0,0,0,0
2009,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,44,5,0,0,0,0,0
2009,Norway,Yemen,NOR,YEM,81,161,0,0,0,0,0
2009,Somalia,Yemen,SOM,YEM,5,10,0,0,0,0,0
2009,Sweden,Yemen,SWE,YEM,126,103,0,0,0,0,0
2009,Switzerland,Yemen,CHE,YEM,207,71,0,0,0,0,0
2009,"Syrian Arab Rep.",Yemen,SYR,YEM,18,67,0,0,0,0,0
2009,"United States of America",Yemen,USA,YEM,355,36,0,0,0,0,0
2009,Yemen,Yemen,YEM,YEM,0,0,250000,0,0,0,0
2010,Egypt,Yemen,EGY,YEM,205,9,0,0,0,0,0
2010,Australia,Yemen,AUS,YEM,6,0,0,0,0,0,0
2010,Austria,Yemen,AUT,YEM,9,0,0,0,0,0,0
2010,Belgium,Yemen,BEL,YEM,5,0,0,0,0,0,0
2010,Bulgaria,Yemen,BGR,YEM,0,5,0,0,0,0,0
2010,Canada,Yemen,CAN,YEM,274,30,0,0,0,0,0
2010,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2010,Denmark,Yemen,DNK,YEM,5,0,0,0,0,0,0
2010,Ethiopia,Yemen,ETH,YEM,12,0,0,0,0,0,0
2010,Finland,Yemen,FIN,YEM,0,5,0,0,0,0,0
2010,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,150,0,0,0,0,0,0
2010,Germany,Yemen,DEU,YEM,408,50,0,0,0,0,0
2010,Ireland,Yemen,IRL,YEM,5,8,0,0,0,0,0
2010,Iraq,Yemen,IRQ,YEM,0,5,0,0,0,0,0
2010,Italy,Yemen,ITA,YEM,5,0,0,0,0,0,0
2010,Jordan,Yemen,JOR,YEM,5,23,0,0,0,0,0
2010,Lebanon,Yemen,LBN,YEM,5,0,0,0,0,0,0
2010,Malaysia,Yemen,MYS,YEM,9,15,0,0,0,0,0
2010,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,34,6,0,0,0,0,0
2010,Norway,Yemen,NOR,YEM,108,119,0,0,0,0,0
2010,"South Africa",Yemen,ZAF,YEM,5,0,0,0,0,0,0
2010,Somalia,Yemen,SOM,YEM,5,10,0,0,0,0,0
2010,Sweden,Yemen,SWE,YEM,178,143,0,0,0,0,0
2010,Switzerland,Yemen,CHE,YEM,246,67,0,0,0,0,0
2010,"Syrian Arab Rep.",Yemen,SYR,YEM,58,90,0,0,0,0,0
2010,"United States of America",Yemen,USA,YEM,328,29,0,0,0,0,0
2010,Yemen,Yemen,YEM,YEM,0,0,220994,0,0,0,0
2011,Egypt,Yemen,EGY,YEM,205,50,0,0,0,0,0
2011,Argentina,Yemen,ARG,YEM,0,20,0,0,0,0,0
2011,Australia,Yemen,AUS,YEM,5,5,0,0,0,0,0
2011,Austria,Yemen,AUT,YEM,10,5,0,0,0,0,0
2011,Belgium,Yemen,BEL,YEM,5,9,0,0,0,0,0
2011,Canada,Yemen,CAN,YEM,266,28,0,0,0,0,0
2011,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2011,Denmark,Yemen,DNK,YEM,5,0,0,0,0,0,0
2011,Djibouti,Yemen,DJI,YEM,0,16,0,0,0,0,0
2011,Ethiopia,Yemen,ETH,YEM,22,67,0,0,0,0,0
2011,Finland,Yemen,FIN,YEM,5,0,0,0,0,0,0
2011,France,Yemen,FRA,YEM,11,0,0,0,0,0,0
2011,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,183,48,0,0,0,0,0
2011,Germany,Yemen,DEU,YEM,402,67,0,0,0,0,0
2011,"China, Hong Kong SAR",Yemen,HKG,YEM,0,35,0,0,0,0,0
2011,India,Yemen,IND,YEM,0,8,0,0,0,0,0
2011,Indonesia,Yemen,IDN,YEM,0,5,0,0,0,0,0
2011,Ireland,Yemen,IRL,YEM,5,0,0,0,0,0,0
2011,Iraq,Yemen,IRQ,YEM,0,5,0,0,0,0,0
2011,Italy,Yemen,ITA,YEM,13,0,0,0,0,0,0
2011,Jordan,Yemen,JOR,YEM,5,134,0,0,0,0,0
2011,Kuwait,Yemen,KWT,YEM,0,9,0,0,0,0,0
2011,Lebanon,Yemen,LBN,YEM,0,5,0,0,0,0,0
2011,Malaysia,Yemen,MYS,YEM,18,83,0,0,0,0,0
2011,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,38,8,0,0,0,0,0
2011,Norway,Yemen,NOR,YEM,118,147,0,0,0,0,0
2011,Qatar,Yemen,QAT,YEM,0,5,0,0,0,0,0
2011,"South Africa",Yemen,ZAF,YEM,5,0,0,0,0,0,0
2011,"Russian Federation",Yemen,RUS,YEM,0,5,0,0,0,0,0
2011,Somalia,Yemen,SOM,YEM,5,11,0,0,0,0,0
2011,Sweden,Yemen,SWE,YEM,325,89,0,0,0,0,0
2011,Switzerland,Yemen,CHE,YEM,251,82,0,0,0,0,0
2011,"Syrian Arab Rep.",Yemen,SYR,YEM,68,113,0,0,0,0,0
2011,Türkiye,Yemen,TUR,YEM,7,63,0,0,0,0,0
2011,"United States of America",Yemen,USA,YEM,339,30,0,0,0,0,0
2011,Yemen,Yemen,YEM,YEM,0,0,347295,0,0,0,0
2012,Algeria,Yemen,DZA,YEM,0,5,0,0,0,0,0
2012,Egypt,Yemen,EGY,YEM,207,120,0,0,0,0,0
2012,Argentina,Yemen,ARG,YEM,15,5,0,0,0,0,0
2012,Australia,Yemen,AUS,YEM,7,8,0,0,0,0,0
2012,Austria,Yemen,AUT,YEM,12,5,0,0,0,0,0
2012,Belgium,Yemen,BEL,YEM,5,18,0,0,0,0,0
2012,Canada,Yemen,CAN,YEM,240,36,0,0,0,0,0
2012,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2012,Djibouti,Yemen,DJI,YEM,0,25,0,0,0,0,0
2012,Eritrea,Yemen,ERI,YEM,0,5,0,0,0,0,0
2012,Ethiopia,Yemen,ETH,YEM,43,109,0,0,0,0,0
2012,Finland,Yemen,FIN,YEM,5,0,0,0,0,0,0
2012,France,Yemen,FRA,YEM,17,0,0,0,0,0,0
2012,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,209,61,0,0,0,0,0
2012,Germany,Yemen,DEU,YEM,481,69,0,0,0,0,0
2012,"China, Hong Kong SAR",Yemen,HKG,YEM,0,45,0,0,0,0,0
2012,India,Yemen,IND,YEM,0,7,0,0,0,0,0
2012,Indonesia,Yemen,IDN,YEM,0,15,0,0,0,0,0
2012,Ireland,Yemen,IRL,YEM,5,0,0,0,0,0,0
2012,Iraq,Yemen,IRQ,YEM,0,5,0,0,0,0,0
2012,Italy,Yemen,ITA,YEM,13,5,0,0,0,0,0
2012,Jordan,Yemen,JOR,YEM,8,100,0,0,0,0,0
2012,Kuwait,Yemen,KWT,YEM,0,9,0,0,0,0,0
2012,Lebanon,Yemen,LBN,YEM,0,5,0,0,0,0,0
2012,Malaysia,Yemen,MYS,YEM,26,223,0,0,0,0,0
2012,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,43,8,0,0,0,0,0
2012,Norway,Yemen,NOR,YEM,130,62,0,0,0,0,0
2012,Qatar,Yemen,QAT,YEM,0,5,0,0,0,0,0
2012,"South Africa",Yemen,ZAF,YEM,5,5,0,0,0,0,0
2012,Somalia,Yemen,SOM,YEM,5,5,0,0,0,0,0
2012,Spain,Yemen,ESP,YEM,5,0,0,0,0,0,0
2012,Sweden,Yemen,SWE,YEM,390,217,0,0,0,0,0
2012,Switzerland,Yemen,CHE,YEM,268,79,0,0,0,0,0
2012,"Syrian Arab Rep.",Yemen,SYR,YEM,73,166,0,0,0,0,0
2012,Thailand,Yemen,THA,YEM,5,0,0,0,0,0,0
2012,Türkiye,Yemen,TUR,YEM,17,108,0,0,0,0,0
2012,"United States of America",Yemen,USA,YEM,343,46,0,0,0,0,0
2012,Yemen,Yemen,YEM,YEM,0,0,385320,0,0,0,0
2013,Algeria,Yemen,DZA,YEM,5,0,0,0,0,0,0
2013,Egypt,Yemen,EGY,YEM,216,188,0,0,0,0,0
2013,Argentina,Yemen,ARG,YEM,15,0,0,0,0,0,0
2013,Australia,Yemen,AUS,YEM,6,12,0,0,0,0,0
2013,Austria,Yemen,AUT,YEM,14,5,0,0,0,0,0
2013,Belgium,Yemen,BEL,YEM,6,26,0,0,0,0,0
2013,Canada,Yemen,CAN,YEM,251,43,0,0,0,0,0
2013,Cyprus,Yemen,CYP,YEM,5,0,0,0,0,0,0
2013,Czechia,Yemen,CZE,YEM,0,8,0,0,0,0,0
2013,Djibouti,Yemen,DJI,YEM,0,25,0,0,0,0,0
2013,Ethiopia,Yemen,ETH,YEM,58,75,0,0,0,0,0
2013,Finland,Yemen,FIN,YEM,5,0,0,0,0,0,0
2013,France,Yemen,FRA,YEM,20,14,0,0,0,0,0
2013,"United Kingdom of Great Britain and Northern Ireland",Yemen,GBR,YEM,224,56,0,0,0,0,0
2013,Germany,Yemen,DEU,YEM,112,155,0,0,0,0,0
2013,Greece,Yemen,GRC,YEM,0,5,0,0,0,0,0
2013,"China, Hong Kong SAR",Yemen,HKG,YEM,7,34,0,0,0,0,0
2013,India,Yemen,IND,YEM,5,12,0,0,0,0,0
2013,Indonesia,Yemen,IDN,YEM,0,17,0,0,0,0,0
2013,Ireland,Yemen,IRL,YEM,5,5,0,0,0,0,0
2013,Iraq,Yemen,IRQ,YEM,0,13,0,0,0,0,0
2013,Italy,Yemen,ITA,YEM,19,16,0,0,0,0,0
2013,Jordan,Yemen,JOR,YEM,0,100,0,0,0,0,0
2013,"Rep. of Korea",Yemen,KOR,YEM,0,33,0,0,0,0,0
2013,Kuwait,Yemen,KWT,YEM,0,9,0,0,0,0,0
2013,Lebanon,Yemen,LBN,YEM,0,9,0,0,0,0,6
2013,Malaysia,Yemen,MYS,YEM,36,267,0,0,0,0,0
2013,Morocco,Yemen,MAR,YEM,0,5,0,0,0,0,0
2013,"Netherlands (Kingdom of the)",Yemen,NLD,YEM,56,0,0,0,0,0,0
2013,Norway,Yemen,NOR,YEM,127,34,0,0,0,0,0
2013,"South Africa",Yemen,ZAF,YEM,5,5,0,0,0,0,0
2013,Somalia,Yemen,SOM,YEM,5,5,0,0,0,0,0
