WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2015-01-17,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2015-01-24,Middle East,Yemen,Abyan,Battles,Armed clash,5,9,,Political violence,3674,13.6274,46.228
2015-01-31,Middle East,Yemen,Abyan,Battles,Armed clash,1,2,,Political violence,3674,13.6274,46.228
2015-02-14,Middle East,Yemen,Abyan,Battles,Armed clash,1,2,,Political violence,3674,13.6274,46.228
2015-03-07,Middle East,Yemen,Abyan,Battles,Armed clash,1,6,,Political violence,3674,13.6274,46.228
2015-03-28,Middle East,Yemen,Abyan,Battles,Armed clash,4,20,,Political violence,3674,13.6274,46.228
2015-04-04,Middle East,Yemen,Abyan,Battles,Armed clash,5,41,,Political violence,3674,13.6274,46.228
2015-04-11,Middle East,Yemen,Abyan,Battles,Armed clash,2,1,,Political violence,3674,13.6274,46.228
2015-04-18,Middle East,Yemen,Abyan,Battles,Armed clash,3,9,,Political violence,3674,13.6274,46.228
2015-04-25,Middle East,Yemen,Abyan,Battles,Armed clash,3,24,,Political violence,3674,13.6274,46.228
2015-05-02,Middle East,Yemen,Abyan,Battles,Armed clash,5,46,,Political violence,3674,13.6274,46.228
2015-05-16,Middle East,Yemen,Abyan,Battles,Armed clash,8,18,,Political violence,3674,13.6274,46.228
2015-05-23,Middle East,Yemen,Abyan,Battles,Armed clash,2,15,,Political violence,3674,13.6274,46.228
2015-05-30,Middle East,Yemen,Abyan,Battles,Armed clash,4,20,,Political violence,3674,13.6274,46.228
2015-06-13,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2015-06-20,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2015-06-27,Middle East,Yemen,Abyan,Battles,Armed clash,1,5,,Political violence,3674,13.6274,46.228
2015-07-04,Middle East,Yemen,Abyan,Battles,Armed clash,1,15,,Political violence,3674,13.6274,46.228
2015-07-11,Middle East,Yemen,Abyan,Battles,Armed clash,2,1,,Political violence,3674,13.6274,46.228
2015-07-18,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2015-07-25,Middle East,Yemen,Abyan,Battles,Armed clash,2,11,,Political violence,3674,13.6274,46.228
2015-08-01,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2015-08-08,Middle East,Yemen,Abyan,Battles,Armed clash,2,4,,Political violence,3674,13.6274,46.228
2015-08-22,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2015-08-29,Middle East,Yemen,Abyan,Battles,Armed clash,2,0,,Political violence,3674,13.6274,46.228
2015-10-10,Middle East,Yemen,Abyan,Battles,Armed clash,2,3,,Political violence,3674,13.6274,46.228
2015-12-05,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2015-12-26,Middle East,Yemen,Abyan,Battles,Armed clash,1,6,,Political violence,3674,13.6274,46.228
2016-01-02,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-01-30,Middle East,Yemen,Abyan,Battles,Armed clash,1,3,,Political violence,3674,13.6274,46.228
2016-02-06,Middle East,Yemen,Abyan,Battles,Armed clash,1,7,,Political violence,3674,13.6274,46.228
2016-03-19,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-03-26,Middle East,Yemen,Abyan,Battles,Armed clash,2,8,,Political violence,3674,13.6274,46.228
2016-04-02,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2016-04-09,Middle East,Yemen,Abyan,Battles,Armed clash,2,9,,Political violence,3674,13.6274,46.228
2016-04-23,Middle East,Yemen,Abyan,Battles,Armed clash,3,0,,Political violence,3674,13.6274,46.228
2016-05-07,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-05-14,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-05-21,Middle East,Yemen,Abyan,Battles,Armed clash,1,4,,Political violence,3674,13.6274,46.228
2016-05-28,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-06-11,Middle East,Yemen,Abyan,Battles,Armed clash,1,4,,Political violence,3674,13.6274,46.228
2016-06-18,Middle East,Yemen,Abyan,Battles,Armed clash,2,6,,Political violence,3674,13.6274,46.228
2016-07-02,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-07-16,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2016-08-06,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2016-08-13,Middle East,Yemen,Abyan,Battles,Armed clash,3,9,,Political violence,3674,13.6274,46.228
2016-09-10,Middle East,Yemen,Abyan,Battles,Armed clash,2,2,,Political violence,3674,13.6274,46.228
2016-09-17,Middle East,Yemen,Abyan,Battles,Armed clash,4,1,,Political violence,3674,13.6274,46.228
2016-09-24,Middle East,Yemen,Abyan,Battles,Armed clash,1,2,,Political violence,3674,13.6274,46.228
2016-10-08,Middle East,Yemen,Abyan,Battles,Armed clash,1,3,,Political violence,3674,13.6274,46.228
2016-10-15,Middle East,Yemen,Abyan,Battles,Armed clash,2,12,,Political violence,3674,13.6274,46.228
2016-11-05,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2016-11-12,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-12-24,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2016-12-31,Middle East,Yemen,Abyan,Battles,Armed clash,4,3,,Political violence,3674,13.6274,46.228
2017-01-07,Middle East,Yemen,Abyan,Battles,Armed clash,2,6,,Political violence,3674,13.6274,46.228
2017-01-14,Middle East,Yemen,Abyan,Battles,Armed clash,5,5,,Political violence,3674,13.6274,46.228
2017-01-21,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-01-28,Middle East,Yemen,Abyan,Battles,Armed clash,2,10,,Political violence,3674,13.6274,46.228
2017-02-04,Middle East,Yemen,Abyan,Battles,Armed clash,5,13,,Political violence,3674,13.6274,46.228
2017-02-18,Middle East,Yemen,Abyan,Battles,Armed clash,1,12,,Political violence,3674,13.6274,46.228
2017-02-25,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2017-03-04,Middle East,Yemen,Abyan,Battles,Armed clash,1,6,,Political violence,3674,13.6274,46.228
2017-04-08,Middle East,Yemen,Abyan,Battles,Armed clash,3,2,,Political violence,3674,13.6274,46.228
2017-04-22,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-04-29,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-06-03,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-07-01,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-07-29,Middle East,Yemen,Abyan,Battles,Armed clash,1,3,,Political violence,3674,13.6274,46.228
2017-08-05,Middle East,Yemen,Abyan,Battles,Armed clash,1,4,,Political violence,3674,13.6274,46.228
2017-08-12,Middle East,Yemen,Abyan,Battles,Armed clash,1,7,,Political violence,3674,13.6274,46.228
2017-08-19,Middle East,Yemen,Abyan,Battles,Armed clash,3,4,,Political violence,3674,13.6274,46.228
2017-09-16,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2017-09-30,Middle East,Yemen,Abyan,Battles,Armed clash,1,10,,Political violence,3674,13.6274,46.228
2017-10-21,Middle East,Yemen,Abyan,Battles,Armed clash,1,9,,Political violence,3674,13.6274,46.228
2017-11-11,Middle East,Yemen,Abyan,Battles,Armed clash,2,0,,Political violence,3674,13.6274,46.228
2017-12-09,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2017-12-16,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2017-12-23,Middle East,Yemen,Abyan,Battles,Armed clash,2,0,,Political violence,3674,13.6274,46.228
2018-03-03,Middle East,Yemen,Abyan,Battles,Armed clash,2,3,,Political violence,3674,13.6274,46.228
2018-03-10,Middle East,Yemen,Abyan,Battles,Armed clash,2,0,,Political violence,3674,13.6274,46.228
2018-03-17,Middle East,Yemen,Abyan,Battles,Armed clash,3,11,,Political violence,3674,13.6274,46.228
2018-03-24,Middle East,Yemen,Abyan,Battles,Armed clash,1,1,,Political violence,3674,13.6274,46.228
2018-03-31,Middle East,Yemen,Abyan,Battles,Armed clash,1,0,,Political violence,3674,13.6274,46.228
2018-04-14,Middle East,Yemen,Abyan,Battles,Armed clash,3,3,,Political violence,3674,13.6274,46.228
2018-05-05,Middle East,Yemen,Abyan,Battles,Armed clash,2,8,,Political violence,3674,13.6274,46.228
2018-05-12,Middle East,Yemen,Abyan,Battles,Armed clash,1,4,,Political violence,3674,13.6274,46.228
